HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Sydney,2021-02-01,1822,4019.207387,2571.228321
Willoughby,2020-09-01,47,3806.924528,3922.702128
Sydney,2021-01-01,1031,4373.397781,2470.146460
Canterbury-Bankstown,2020-09-01,118,2345.000000,1372.627119
Waverley,2020-05-01,2201,6099.162055,1530.911858
Lane Cove,2020-09-01,79,6385.609756,5005.063291
Northern Beaches,2020-07-01,485,6893.167546,7041.814433
Bayside,2020-09-01,392,3020.098532,1405.068878
Mosman,2021-03-01,112,8929.314721,14479.241071
Canterbury-Bankstown,2020-09-01,37,2071.435897,1895.567568
Woollahra,2021-03-01,489,8378.174397,5355.329243
Randwick,2020-07-01,681,5451.493047,2897.810573
Northern Beaches,2020-08-01,498,9141.658451,4403.377510
Ryde,2021-01-01,14,9257.062500,10553.785714
Willoughby,2020-05-01,144,2582.756881,3258.798611
Randwick,2020-05-01,442,3711.084530,3756.694570
Sutherland Shire,2020-06-01,65,4370.397436,4988.476923
Canada Bay,2020-10-01,64,3946.073529,3192.859375
Willoughby,2020-09-01,128,8425.552448,7064.718750
North Sydney,2020-07-01,201,2824.896552,3262.044776
Waverley,2020-09-01,561,6092.256536,3383.406417
Burwood,2020-05-01,51,2242.060870,4566.000000
Northern Beaches,2021-01-01,305,10177.741514,9217.963934
Woollahra,2021-02-01,93,8504.948980,7350.591398
Canada Bay,2021-03-01,112,4251.951220,3244.553571
Lane Cove,2021-03-01,77,2729.508065,4192.610390
Mosman,2020-08-01,79,11156.588235,15989.797468
Strathfield,2021-03-01,33,2584.090909,2787.272727
North Sydney,2021-01-01,127,4945.079470,4455.173228
Inner West,2020-09-01,32,7040.312500,6501.250000
Burwood,2021-04-01,23,2049.967742,2413.086957
Hornsby,2021-04-01,3,6472.000000,8629.333333
Strathfield,2020-07-01,18,1575.750000,1692.500000
Bayside,2021-04-01,32,2058.000000,2058.000000
Ryde,2021-03-01,22,3641.600000,3104.545455
Hornsby,2020-08-01,11,902.411765,1394.636364
Hunters Hill,2021-01-01,9,8333.333333,8333.333333
Randwick,2021-03-01,547,3668.586071,3559.438757
Willoughby,2021-04-01,77,5570.550000,3814.207792
Sydney,2020-12-01,2805,4118.320770,1860.668449
Randwick,2020-10-01,459,3994.898113,2288.379085
North Sydney,2021-02-01,273,4969.715232,2967.743590
Canada Bay,2020-12-01,67,4370.438356,4214.656716
Strathfield,2020-09-01,37,2405.294118,2724.324324
Sutherland Shire,2020-05-01,58,5746.271186,4460.172414
Cumberland,2020-12-01,61,1852.788889,2336.655738
Canada Bay,2021-04-01,45,3293.446809,3079.822222
Georges River,2020-10-01,65,2352.786667,2283.523077
Canada Bay,2020-05-01,125,4619.217391,3290.736000
Burwood,2021-01-01,35,1416.272727,1797.000000
Canada Bay,2021-01-01,11,3977.000000,4700.090909
Ryde,2020-06-01,29,3388.000000,3096.896552
Georges River,2021-02-01,90,2530.929825,2025.177778
Canterbury-Bankstown,2020-10-01,1,1800.000000,1800.000000
Lane Cove,2021-01-01,44,6089.854167,6186.659091
Parramatta,2020-06-01,23,3655.393443,7672.130435
Sutherland Shire,2021-01-01,23,5382.192308,5906.826087
Parramatta,2021-03-01,6,3386.666667,5080.000000
Georges River,2020-08-01,4,5808.000000,7260.000000
Canada Bay,2021-03-01,21,7488.772727,7845.380952
Hunters Hill,2020-09-01,23,4766.304348,4762.826087
Ryde,2020-05-01,26,4019.687500,4017.307692
Ryde,2021-04-01,1,4260.000000,4260.000000
Ryde,2021-04-01,8,3937.500000,3937.500000
Fairfield,2020-09-01,1,402.000000,4020.000000
Lane Cove,2021-04-01,4,5527.500000,5527.500000
Bayside,2021-04-01,5,2097.800000,2097.800000
Ryde,2021-01-01,6,1712.333333,1712.333333
Fairfield,2020-06-01,3,2320.692308,9078.333333
Liverpool,2020-07-01,4,10834.500000,29293.750000
Penrith,2021-01-01,3,2742.800000,4571.333333
Camden,2021-03-01,1,1356.000000,1356.000000
Hornsby,2020-10-01,2,3285.000000,3285.000000
Parramatta,2021-03-01,1,9000.000000,9000.000000
Willoughby,2020-10-01,1,1380.000000,1380.000000
Campbelltown,2020-07-01,2,3555.000000,7732.500000
Hornsby,2021-03-01,2,2092.500000,2092.500000
Waverley,2021-01-01,780,6196.884750,4108.474359
Northern Beaches,2020-10-01,283,12537.793566,11542.653710
Bayside,2020-09-01,340,1074.858779,1193.841176
Inner West,2021-01-01,336,3226.288089,1826.562500
Woollahra,2020-11-01,898,7667.984432,5431.197105
Sydney,2021-01-01,1589,4275.285566,2004.108874
Randwick,2021-02-01,257,4797.681356,3713.198444
Randwick,2020-08-01,575,3417.956633,2709.147826
Randwick,2020-12-01,969,5109.780988,2403.063983
Bayside,2021-04-01,172,3180.909091,1636.511628
Hunters Hill,2021-04-01,21,4301.454545,4506.285714
Willoughby,2020-09-01,149,2061.043103,2902.503356
Canterbury-Bankstown,2020-05-01,94,1181.774775,1287.723404
Woollahra,2020-06-01,821,6017.878852,2792.945189
Randwick,2021-01-01,353,4867.413265,3210.286119
Waverley,2021-04-01,375,6240.100000,3850.514667
Mosman,2021-02-01,143,8308.017544,12172.608392
Lane Cove,2020-12-01,2,3434.500000,3434.500000
Woollahra,2020-05-01,13,7706.153846,7429.230769
Lane Cove,2021-04-01,54,6678.486486,7722.000000
Ryde,2020-06-01,59,4623.868421,6932.271186
Burwood,2020-06-01,58,2156.296296,2047.620690
Inner West,2021-01-01,323,3968.455056,2473.040248
Canterbury-Bankstown,2020-12-01,119,2628.172932,1970.142857
Woollahra,2021-04-01,360,10596.619898,8072.041667
Lane Cove,2020-08-01,13,4351.076923,8686.769231
Penrith,2020-07-01,3,808.111111,3060.666667
Cumberland,2021-04-01,12,3549.230769,3845.000000
Lane Cove,2020-08-01,87,2429.325581,3360.724138
Cumberland,2021-03-01,34,2916.923077,2871.176471
Strathfield,2020-06-01,45,2730.000000,2642.666667
Waverley,2020-10-01,10,6153.000000,6153.000000
Northern Beaches,2020-12-01,10,6273.181818,6900.500000
Canada Bay,2021-02-01,56,3578.062500,3778.464286
Sydney,2021-01-01,1180,4314.170404,2525.326271
Waverley,2020-09-01,1866,5626.144349,1576.355841
Northern Beaches,2021-04-01,148,13561.769663,11563.277027
Lane Cove,2020-05-01,24,4473.814815,4897.041667
Burwood,2021-01-01,8,1513.333333,2270.000000
Woollahra,2020-10-01,230,7158.177686,4887.734783
Waverley,2020-07-01,1037,6125.602941,2165.667310
Randwick,2021-01-01,103,3783.913043,3807.864078
Georges River,2020-09-01,6,2621.333333,2621.333333
Burwood,2020-10-01,27,2197.631579,2502.962963
Strathfield,2020-09-01,7,1199.571429,1199.571429
Hornsby,2020-12-01,9,5769.636364,7051.777778
Hunters Hill,2020-10-01,6,5314.166667,5314.166667
Bayside,2020-10-01,82,2453.454545,2145.658537
Parramatta,2020-05-01,14,6818.964286,13096.857143
Ryde,2020-08-01,49,1771.552632,2359.551020
Canterbury-Bankstown,2020-05-01,19,1092.363636,1086.947368
The Hills Shire,2021-02-01,5,7330.062500,21094.600000
Canada Bay,2020-05-01,16,2805.611111,3156.312500
Bayside,2020-12-01,11,1932.428571,1755.818182
Liverpool,2020-05-01,4,3948.200000,4935.250000
Penrith,2020-05-01,1,760.000000,3800.000000
The Hills Shire,2020-06-01,3,2152.500000,2870.000000
Lane Cove,2020-09-01,2,1650.000000,1650.000000
Ryde,2020-10-01,4,3337.500000,3337.500000
Sutherland Shire,2020-09-01,3,3479.000000,3479.000000
Georges River,2020-07-01,3,900.000000,900.000000
The Hills Shire,2020-12-01,4,2917.000000,6563.250000
Hunters Hill,2020-08-01,1,1800.000000,1800.000000
Campbelltown,2021-01-01,2,3320.500000,3320.500000
North Sydney,2020-12-01,1,3210.000000,3210.000000
The Hills Shire,2021-01-01,2,613.000000,613.000000
Parramatta,2020-09-01,1,1460.000000,1460.000000
Hornsby,2020-12-01,1,12300.000000,12300.000000
The Hills Shire,2020-08-01,2,7007.500000,7007.500000
Camden,2021-01-01,1,2769.500000,5539.000000
Cumberland,2020-08-01,1,1500.000000,1500.000000
Waverley,2020-05-01,840,4322.175652,3625.095238
Sydney,2020-10-01,1020,4290.098716,1873.355882
Sydney,2021-03-01,1384,4302.978560,3166.109827
Canterbury-Bankstown,2020-10-01,3,162.333333,162.333333
Bayside,2020-07-01,178,2311.699074,1922.084270
Waverley,2021-01-01,1050,6404.926370,2987.707619
Waverley,2020-12-01,2078,6621.682039,3728.903754
Woollahra,2021-01-01,196,11052.981481,10588.081633
Mosman,2020-07-01,64,6493.802198,8819.000000
Waverley,2020-10-01,164,4643.653061,5142.713415
Sydney,2020-05-01,484,3175.715736,2355.115702
Randwick,2020-10-01,221,2777.831418,2832.294118
Sutherland Shire,2020-10-01,45,3103.500000,3416.333333
Bayside,2020-09-01,119,2332.901515,1815.865546
Canterbury-Bankstown,2021-04-01,100,994.273973,1129.490000
Willoughby,2020-06-01,138,5605.354839,3551.739130
Lane Cove,2020-06-01,90,6459.111111,5165.133333
Woollahra,2020-12-01,572,9021.247678,6799.825175
Woollahra,2020-08-01,421,6548.790043,3478.173397
The Hills Shire,2020-09-01,5,3594.875000,5007.800000
Willoughby,2021-03-01,132,2680.474490,3240.825758
Strathfield,2021-04-01,25,1858.703704,1935.400000
Canada Bay,2020-09-01,133,4270.000000,2962.330827
Inner West,2020-10-01,154,3977.006250,2664.097403
Georges River,2020-07-01,111,2046.420732,2563.009009
Lane Cove,2020-10-01,17,8088.333333,8281.764706
Hunters Hill,2020-11-01,38,4875.526316,4542.631579
Sutherland Shire,2020-07-01,44,9155.755556,6568.386364
Willoughby,2020-07-01,81,1185.675214,1635.493827
Ryde,2020-10-01,10,3618.000000,3321.000000
Canada Bay,2021-04-01,8,2118.000000,2118.000000
North Sydney,2020-10-01,151,4122.728723,4008.284768
Lane Cove,2021-04-01,22,6577.826087,3801.818182
Mosman,2020-10-01,19,13869.000000,13920.000000
Burwood,2020-08-01,47,2381.578947,2071.276596
Hunters Hill,2020-10-01,2,5790.000000,5790.000000
Blacktown,2020-10-01,1,1350.000000,1350.000000
Willoughby,2020-10-01,33,6613.235294,6431.818182
Bayside,2020-08-01,41,1597.913043,1418.146341
Strathfield,2021-01-01,23,1738.520000,1765.782609
Cumberland,2021-01-01,22,2814.321429,3377.318182
Inner West,2020-11-01,1438,3425.520893,1413.038248
Canada Bay,2020-09-01,83,1762.600000,1997.108434
Northern Beaches,2020-06-01,1045,8263.711340,3897.612440
Waverley,2021-04-01,484,4964.263704,5387.361570
Randwick,2020-10-01,280,5629.278523,4037.232143
Mosman,2021-01-01,34,12471.250000,20417.352941
Georges River,2021-03-01,69,1428.577778,1805.637681
Canterbury-Bankstown,2020-10-01,19,2886.315789,2657.368421
Northern Beaches,2021-01-01,79,12694.181818,16762.784810
Sutherland Shire,2021-01-01,44,3330.312500,3523.977273
Ryde,2020-09-01,27,3200.000000,2829.629630
Ryde,2021-04-01,25,2560.593750,3080.120000
Cumberland,2021-01-01,35,1617.500000,1941.800000
Ryde,2021-01-01,21,3675.076923,4435.809524
Mosman,2020-10-01,32,9252.187500,8727.187500
Parramatta,2020-07-01,17,2903.464286,5614.352941
Parramatta,2020-12-01,20,2497.481481,3357.600000
Strathfield,2021-04-01,17,2237.727273,2714.117647
Hunters Hill,2021-02-01,9,7143.333333,7143.333333
Canada Bay,2020-10-01,27,1041.586207,1111.703704
The Hills Shire,2020-10-01,3,6487.714286,14764.666667
The Hills Shire,2020-05-01,7,3973.375000,4541.000000
Northern Beaches,2021-04-01,2,3302.000000,3302.000000
Willoughby,2020-10-01,47,16365.294118,16856.170213
Penrith,2021-03-01,2,3024.500000,6049.000000
Hornsby,2020-07-01,4,3738.000000,4672.500000
Parramatta,2020-10-01,1,2100.000000,2100.000000
The Hills Shire,2020-11-01,7,6772.153846,12300.142857
The Hills Shire,2020-07-01,3,11405.571429,38846.000000
Burwood,2020-10-01,22,1231.514286,1740.818182
Liverpool,2020-08-01,6,1541.285714,3596.333333
Parramatta,2020-07-01,6,2227.250000,2969.666667
Mosman,2020-09-01,7,5844.428571,5201.571429
Liverpool,2020-09-01,5,2335.363636,5137.800000
Burwood,2020-10-01,5,2532.000000,2532.000000
Hunters Hill,2021-04-01,1,1800.000000,1800.000000
Mosman,2020-10-01,2,12481.000000,12481.000000
Burwood,2020-08-01,7,246.000000,351.428571
Northern Beaches,2020-05-01,2,7185.000000,7185.000000
Blacktown,2020-08-01,1,1450.000000,4350.000000
Cumberland,2021-01-01,3,2080.000000,2080.000000
North Sydney,2020-10-01,4,3105.000000,3105.000000
Penrith,2021-01-01,1,662.000000,662.000000
Sutherland Shire,2020-07-01,3,3770.000000,3770.000000
Blacktown,2020-12-01,2,865.000000,1297.500000
The Hills Shire,2021-03-01,3,5297.111111,14228.666667
The Hills Shire,2021-03-01,2,840.000000,840.000000
Blacktown,2020-10-01,1,1425.000000,2850.000000
Fairfield,2021-01-01,2,2208.000000,4416.000000
Waverley,2020-12-01,958,6610.733149,4365.362213
Georges River,2021-04-01,45,2733.380000,2778.422222
Inner West,2020-08-01,337,2666.248244,2226.670623
Cumberland,2020-10-01,17,2319.894737,2312.235294
Lane Cove,2021-04-01,46,2806.879310,3140.739130
Georges River,2021-04-01,55,1430.184211,1721.381818
Northern Beaches,2020-10-01,216,8647.774059,6004.712963
Randwick,2021-04-01,471,4638.937255,2649.851380
Inner West,2020-10-01,322,3645.489796,1873.518634
Willoughby,2020-12-01,130,8883.655405,8477.315385
Hunters Hill,2021-01-01,15,5299.875000,5653.200000
Sydney,2021-02-01,1974,4318.129928,1403.374367
Sutherland Shire,2020-08-01,58,2996.196970,3358.258621
Waverley,2020-05-01,282,5936.928814,4116.290780
Northern Beaches,2020-07-01,477,8913.939236,5270.104822
Northern Beaches,2021-04-01,360,9874.340323,13398.872222
Willoughby,2021-04-01,72,9262.756098,10132.722222
Burwood,2021-02-01,24,647.000000,1125.958333
Canada Bay,2021-03-01,71,2985.209302,2777.154930
Bayside,2021-04-01,186,2022.378182,2239.327957
Blacktown,2021-02-01,1,1450.000000,4350.000000
Lane Cove,2020-12-01,83,6171.646465,6532.566265
Georges River,2021-01-01,46,1880.235294,1993.304348
Waverley,2021-02-01,338,7488.432877,5518.204142
The Hills Shire,2021-01-01,2,42796.750000,85593.500000
Hunters Hill,2020-06-01,20,9265.500000,8950.500000
Northern Beaches,2020-05-01,696,9998.677379,3960.775862
Cumberland,2020-08-01,28,2587.058824,2721.428571
Georges River,2020-10-01,32,2497.026316,2810.531250
Canada Bay,2020-10-01,52,4059.807692,2940.576923
Mosman,2020-10-01,47,5539.411765,4711.914894
Burwood,2020-10-01,18,1453.045455,1505.944444
Cumberland,2021-02-01,34,2693.846154,2435.294118
Campbelltown,2020-07-01,2,3697.500000,3697.500000
Bayside,2020-06-01,388,1969.430976,1652.631443
North Sydney,2020-10-01,185,2849.154135,3468.270270
Liverpool,2020-06-01,7,2673.555556,5692.000000
Willoughby,2020-06-01,167,2172.852590,2431.574850
Cumberland,2020-09-01,38,2758.200000,2779.736842
North Sydney,2021-03-01,368,5173.004963,2774.486413
Woollahra,2020-05-01,110,6719.352941,6463.372727
Lane Cove,2020-06-01,106,2810.601307,3670.801887
Mosman,2021-01-01,78,10012.688172,10122.051282
Georges River,2020-09-01,100,2447.100775,2093.260000
Strathfield,2020-05-01,41,2548.947368,2151.951220
Ryde,2020-08-01,22,3099.583333,2571.363636
Burwood,2020-05-01,9,1769.727273,2163.000000
Lane Cove,2020-12-01,83,3751.145161,5276.192771
Burwood,2021-03-01,1,3870.000000,3870.000000
Sutherland Shire,2020-10-01,12,4360.166667,4360.166667
Georges River,2020-09-01,27,2512.533333,2502.814815
Bayside,2021-03-01,359,3607.327189,1446.852368
Penrith,2020-10-01,2,22785.333333,34178.000000
Canterbury-Bankstown,2020-08-01,7,2370.000000,2370.000000
Burwood,2021-04-01,29,2157.352941,2001.034483
Hunters Hill,2021-03-01,14,5837.142857,5537.142857
The Hills Shire,2020-08-01,4,440.250000,440.250000
Mosman,2021-04-01,35,14232.391304,15950.571429
Mosman,2021-02-01,32,10612.571429,11326.250000
Hornsby,2020-05-01,5,5652.000000,5652.000000
Fairfield,2020-09-01,2,2980.000000,3577.500000
Hornsby,2021-01-01,4,2678.400000,3348.000000
Northern Beaches,2020-07-01,4,4686.750000,4686.750000
Blacktown,2020-08-01,4,836.000000,1463.000000
Hornsby,2021-01-01,8,4456.125000,4456.125000
Parramatta,2021-04-01,5,3448.750000,5518.000000
Parramatta,2021-04-01,3,4040.000000,4040.000000
The Hills Shire,2020-10-01,1,50.000000,50.000000
Campbelltown,2021-01-01,1,53850.000000,53850.000000
Inner West,2020-05-01,3,8590.000000,8590.000000
Canada Bay,2020-12-01,2,4350.000000,4350.000000
Lane Cove,2020-05-01,5,8110.000000,8110.000000
The Hills Shire,2020-12-01,3,97694.666667,97694.666667
Camden,2021-02-01,1,1267.000000,1267.000000
Burwood,2020-10-01,1,297.000000,297.000000
Blacktown,2020-09-01,1,157.500000,315.000000
Willoughby,2020-10-01,2,481.000000,481.000000
Waverley,2020-12-01,1,8340.000000,8340.000000
Inner West,2020-10-01,5,1594.400000,1594.400000
Fairfield,2021-01-01,2,2280.000000,4342.500000
Campbelltown,2021-01-01,1,428.000000,428.000000
Campbelltown,2021-02-01,1,0.000000,0.000000
Willoughby,2021-03-01,1,3000.000000,9450.000000
Parramatta,2020-09-01,2,4555.500000,4555.500000
Sutherland Shire,2020-10-01,1,4480.000000,4480.000000
Fairfield,2021-04-01,1,217.000000,217.000000
Strathfield,2020-07-01,2,1238.000000,1238.000000
Randwick,2020-09-01,675,3867.418478,3113.014815
Sydney,2021-03-01,2495,4317.100594,1194.877355
Waverley,2020-06-01,3089,5703.474742,2009.616381
Mosman,2020-05-01,145,9791.274678,13415.510345
Sydney,2021-04-01,681,3478.115200,3539.311307
Sydney,2020-09-01,88,4153.967391,3365.397727
Cumberland,2020-07-01,34,2516.187500,2551.676471
Mosman,2020-10-01,54,8949.681818,9955.722222
Inner West,2021-04-01,527,4445.138241,1848.751423
Bayside,2021-02-01,235,2426.541311,2622.485106
Waverley,2021-02-01,1339,6366.569387,3765.387603
Strathfield,2021-03-01,49,685.457627,820.346939
Inner West,2020-06-01,464,2675.525890,2544.448276
Bayside,2020-05-01,113,2071.485507,1759.247788
Georges River,2020-06-01,121,2085.271739,2910.983471
Sutherland Shire,2021-01-01,25,4681.230769,4628.480000
Bayside,2020-07-01,224,1245.049563,1401.254464
Bayside,2020-10-01,154,988.015075,1164.331169
Woollahra,2021-01-01,338,5678.724518,4033.778107
Willoughby,2020-07-01,86,5056.541667,3987.534884
Bayside,2021-04-01,211,3006.887029,2130.549763
Waverley,2020-10-01,670,5683.155125,2739.608955
North Sydney,2020-10-01,154,4972.754491,3710.000000
Inner West,2020-08-01,713,4205.724317,1760.563815
Lane Cove,2021-03-01,70,7830.933333,7045.000000
Willoughby,2021-01-01,77,4874.666667,5404.337662
Hornsby,2020-10-01,8,1681.687500,3363.375000
Parramatta,2020-07-01,8,3364.363636,4626.000000
Mosman,2021-01-01,64,10876.207317,12666.703125
North Sydney,2020-05-01,313,2239.832990,2810.865815
Woollahra,2020-05-01,588,6852.704581,2616.789116
Willoughby,2021-01-01,33,2848.684211,3280.303030
Inner West,2021-02-01,181,3641.294416,2818.469613
North Sydney,2020-08-01,11,1606.727273,1606.727273
Georges River,2020-10-01,20,1079.185185,1381.900000
Penrith,2021-01-01,3,2060.000000,2060.000000
Cumberland,2021-02-01,7,5524.500000,7892.142857
Burwood,2021-02-01,46,2211.746032,2262.826087
Canada Bay,2021-02-01,60,3192.394366,3611.583333
Waverley,2020-09-01,39,3163.974359,2948.589744
North Sydney,2021-01-01,154,3821.730769,3120.642857
Sutherland Shire,2021-03-01,47,3845.000000,4404.000000
Cumberland,2020-08-01,49,1018.701031,1829.285714
Willoughby,2020-05-01,130,5730.814286,3678.876923
Lane Cove,2021-01-01,52,3878.474576,3898.653846
Canada Bay,2020-08-01,9,3062.666667,2762.666667
Blacktown,2020-07-01,2,7934.666667,11902.000000
Willoughby,2020-10-01,90,4019.897196,4238.155556
Georges River,2020-10-01,47,2640.727273,2381.702128
Parramatta,2021-04-01,12,2189.848485,4654.833333
Strathfield,2020-05-01,59,2493.986842,1614.627119
Parramatta,2021-02-01,18,2174.607843,4831.444444
Camden,2021-04-01,1,5940.000000,5940.000000
Penrith,2020-10-01,6,10200.461538,11632.666667
Blacktown,2020-06-01,6,505.777778,758.666667
Strathfield,2020-10-01,8,2356.666667,2576.250000
Cumberland,2020-10-01,39,541.767857,750.230769
Liverpool,2020-10-01,3,1888.500000,2518.000000
Liverpool,2021-02-01,2,2161.000000,2161.000000
Cumberland,2020-09-01,19,2547.500000,2308.947368
Hornsby,2021-02-01,5,4166.250000,6666.000000
Sutherland Shire,2020-07-01,13,6055.384615,5686.153846
Fairfield,2021-01-01,1,480.000000,480.000000
Liverpool,2021-04-01,5,4193.428571,5213.000000
Blacktown,2021-04-01,1,1350.000000,
Liverpool,2020-05-01,1,1650.000000,1650.000000
Parramatta,2020-06-01,6,3350.000000,4175.000000
Parramatta,2021-01-01,8,2342.722222,4941.125000
Strathfield,2020-08-01,9,526.363636,518.888889
The Hills Shire,2021-03-01,3,36693.333333,36693.333333
Georges River,2021-04-01,1,0.000000,0.000000
The Hills Shire,2020-08-01,2,920.000000,1380.000000
